x, y
0, 3.1578947368421053
6.315789473684211, 6.315789473684211
15.438596491228068, 10.526315789473683
21.75438596491228, 14.736842105263158
28.07017543859649, 20
34.3859649122807, 25.263157894736842
40, 29.82456140350877
45.614035087719294, 35.08771929824561
49.82456140350877, 40.35087719298245
54.03508771929824, 45.614035087719294
56.84210526315789, 51.57894736842105
59.64912280701754, 57.89473684210526
63.859649122807014, 64.56140350877193
67.36842105263158, 69.82456140350877
71.57894736842105, 75.43859649122807
76.49122807017544, 81.05263157894737
82.10526315789473, 86.66666666666666
88.42105263157895, 91.57894736842104
94.03508771929825, 96.14035087719297
102.45614035087719, 99.29824561403508
110.17543859649122, 96.49122807017544
117.89473684210526, 92.28070175438596
125.61403508771929, 87.71929824561403
132.6315789473684, 82.80701754385964
139.64912280701753, 77.54385964912281
