x, y
0, 100
1.0676156583629894, 94.66192170818506
2.8469750889679717, 89.6797153024911
4.626334519572954, 84.34163701067617
7.117437722419929, 79.00355871886121
9.608540925266905, 74.37722419928826
13.167259786476869, 69.7508896797153
16.370106761565836, 65.48042704626334
20.284697508896798, 61.20996441281139
24.19928825622776, 56.93950177935943
28.825622775800714, 53.02491103202847
33.80782918149466, 49.46619217081851
38.43416370106762, 46.26334519572954
43.060498220640575, 42.704626334519574
47.686832740213525, 39.50177935943061
53.38078291814947, 36.29893238434164
58.36298932384342, 33.45195729537367
64.05693950177937, 30.604982206405694
70.10676156583631, 28.469750889679716
75.08896797153025, 26.334519572953738
80.07117437722421, 24.555160142348758
84.69750889679716, 22.419928825622776
89.32384341637011, 20.640569395017796
94.30604982206407, 18.86120996441281
99.28825622775801, 16.725978647686834
